PLEASER_ITEM,DESCRIPTION,BRAND,SUB_CATEGORY,2ND_SUB_CATEGORY,STYLE_NAME,COLOR_DESCRIPTION,WHOLESALE_PRICE_US,SIZE_RANGE,IMAGE_FULL,IMAGE_THUMBNAIL,BLANK_1,BLANK_2,HEEL_PLATFORM,MSRP_USD_FOR_INTL_ACCT,DESCRIPTION_ADDITION,ITEM_STATUS,SALE_DATE,MAP_US_DOLLAR,MAP_ACTIVATION_DATE,MSRP_EURO_FOR_INTL_ACCT,FIT_GUIDE,MSRP_USD_FOR_DOMESTIC_ACCT,MSRP_GBP_FOR_INTL_ACCT,CALF_CIRCUMFERENCE,BOOT_SHAFT_HEIGHT,FIRST_RCV_DATE,WHOLESALE_PRICE_NETHERLANDS,VEGAN_STYLE,MULTIVIEW_IMAGE_1,MULTIVIEW_IMAGE_2,MULTIVIEW_IMAGE_3,MULTIVIEW_IMAGE_4,HTML5_LINK,UPPER_MATERIAL,MID-SOLE_MATERIAL,LINING_MATERIAL,OUTSOLE_MATERIAL,HS_CODE,HEEL_HEIGHT_IN_INCH,HEEL_HEIGHT_IN_CM,PLATFORM_HEIGHT_IN_INCH,PLATFORM_HEIGHT_IN_CM,MSRP_YEN,MSRP_CAD,MSRP_RUBLE,MSRP_AUD,MSRP_UAH
BC-12,"5"" Chrome With Chrome Hardware And Black Tips",Accessories,,,BOOT CLIPS,Chrome,9.00,"1",https://pleaser.sa.metacdn.com/picxnw/bc-12.jpg,https://pleaser.sa.metacdn.com/picxnw/bc-12_t.jpg,,,"",33.95,"5"""" (12.7cm) Chrome with Chrome Hardware and Black Tips. The Perfect Way to Display a Pair of Boots 1 DZ",CURRENT,,,,29.95,,,26.95,,,01/09/2015,16.00,YES,,,,,,,,,,3926.20.9050,,,,,3699.00,43.95,2299,48.95,899.00
BORDELLO-DISPLAY,"Bordello-Display",Accessories,,,DISPLAY,Bordello-Display,.75,"",https://pleaser.sa.metacdn.com/picxnw/bordello_display.jpg,https://pleaser.sa.metacdn.com/picxnw/bordello_display_t.jpg,,,"",,"",CURRENT,,,,,,,,,,05/06/2009,3.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-DEM-V8,"Demonia Catalog V.8",Accessories,,,CAT-DEM-V8,Demonia Catalog V.8,15.00,"1",https://pleaser.sa.metacdn.com/picxnw/cat-demonia-v8.jpg,https://pleaser.sa.metacdn.com/picxnw/cat-demonia-v8_t.jpg,,,"",,"",CURRENT,,,,,,,,,,02/02/2018,18.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-FAB-V1,"Fabulicious Special Occasions Footwear VOL.1",Accessories,,,CAT-FAB-V1,Fabulicious Special Occasions Footwear VOL.1,5.00,"",https://pleaser.sa.metacdn.com/picxnw/catalog-fabulicious.jpg,https://pleaser.sa.metacdn.com/picxnw/catalog-fabulicious_t.jpg,,,"",,"",CURRENT,,,,.00,,,.00,,,,9.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-FUN-LB-V1,"Funtasma Cosplay Lookbook V.1",Accessories,,,CAT-FUN-LB-V1,Funtasma Cosplay Lookbook V.1,7.00,"1",https://pleaser.sa.metacdn.com/picxnw/cat-fun-lb-v1.jpg,https://pleaser.sa.metacdn.com/picxnw/cat-fun-lb-v1_t.jpg,,,"",,"",CURRENT,,,,,,,,,,01/09/2018,8.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-FUN-V102,"Funtasma Halloween &Costume Footwear Classic Collection V102",Accessories,,,CAT-FUN-V102,Funtasma Halloween &Costume Footwear Classic Collection V102,7.00,"1",https://pleaser.sa.metacdn.com/picxnw/cat-funtasma-v102.jpg,https://pleaser.sa.metacdn.com/picxnw/cat-funtasma-v102_t.jpg,,,"",,"",CURRENT,,,,,,,,,,01/21/2015,8.00,,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-PEDS-V102,"Pleaser Exotic Dancer Shoes V.102 Catalog",Accessories,,,CAT-PEDS-V102,Pleaser Exotic Dancer Shoes V.102 Catalog,20.00,"1",https://pleaser.sa.metacdn.com/picxnw/cat-pleaser_eds-v102.jpg,https://pleaser.sa.metacdn.com/picxnw/cat-pleaser_eds-v102_t.jpg,,,"",,"",CURRENT,,,,,,,,,,05/08/2018,25.00,,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-PIN-UP-V1,"Pin Up Catalog Vol.1",Accessories,,,CAT-PIN-UP-V1,Pin Up Catalog Vol.1,10.00,"1",https://pleaser.sa.metacdn.com/picxnw/catalog-pinup.jpg,https://pleaser.sa.metacdn.com/picxnw/catalog-pinup_t.jpg,,,"",27.95,"",CURRENT,,,,23.95,,,21.95,,,,13.00,YES,,,,,,,,,,4911.10.0080,,,,,27.95,35.95,1899,,
CAT-PLEASER_PINKL,"Pleaser Pink Label Catalog",Accessories,,,CAT-PLEASER_PL,Pleaser Pink Label Catalog,10.00,"1",https://pleaser.sa.metacdn.com/picxnw/catalog-pleaserpl.jpg,https://pleaser.sa.metacdn.com/picxnw/catalog-pleaserpl_t.jpg,,,"",,"",CURRENT,,,,,,,,,,03/30/2017,13.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
CAT-PPF-V1,"Pleaser Pole Fitness Signature Collection VOL.1",Accessories,,,CAT-PPF-V1,Pleaser Pole Fitness VOL.1,10.00,"",https://pleaser.sa.metacdn.com/picxnw/cat-ppf-v1.jpg,https://pleaser.sa.metacdn.com/picxnw/cat-ppf-v1_t.jpg,,,"",,"",CURRENT,,,,,,,,,,09/22/2020,.00,,,,,,,,,,,4911.10.0080,,,,,,,,,
